Date,Actual excess return,Fitted excess return,Residual
2019-04-08,0.002428089198423411,0.0008731156551783297,0.0015549735432450812
2019-04-09,-0.003628205345600155,-0.005955525047876545,0.0023273197022763903
2019-04-10,0.005248929743348896,0.003945377559575458,0.0013035521837734378
2019-04-11,-0.0024897956061289417,-0.00033288986782692214,-0.0021569057383020195
2019-04-12,0.004206513577468929,0.007837590705350552,-0.0036310771278816236
2019-04-15,4.425297153054508e-05,-0.0007706118052365109,0.000814864776767056
2019-04-16,0.003325907040497844,0.0007490089750012864,0.0025768980654965576
2019-04-17,0.0033678933508540787,-0.0028496976860080884,0.006217591036862168
2019-04-18,0.0011653522090262491,0.0022736326272097167,-0.0011082804181834676
2019-04-22,0.0027109185786660106,0.0009886478180552317,0.001722270760610779
