Date,SPY,QQQ,GLD,Equal Weight Portfolio
2020-11-19,0.20821671597715125,0.2982545135686986,0.1602821183871055,0.18978930636268088
2020-11-20,0.20795291652640044,0.29842396571065916,0.1601002516547155,0.1898391932690333
2020-11-23,0.20814861785635544,0.2980546021666212,0.16462854840607466,0.1899124830183437
2020-11-24,0.20960211766716458,0.29632703271913324,0.1651573103384819,0.1879612153001958
2020-11-25,0.20963803284647323,0.2964709661277134,0.1638089378998971,0.18779001571621098
2020-11-27,0.2093627764058285,0.29684791594558335,0.16046647108482728,0.18678691461930563
2020-11-30,0.20943696389473204,0.2964731696740738,0.16061028977681202,0.1868181074247326
2020-12-01,0.20971518530105324,0.2956184035715118,0.1668046168627342,0.18832467437268036
2020-12-02,0.20787717685875706,0.2950457320976137,0.16594942327846,0.18832755649162689
2020-12-03,0.19537787768200918,0.276297645510942,0.16622469031230525,0.1775401074144147
2020-12-04,0.1950301017545624,0.2748040262867922,0.1661289673715527,0.17709487430336426
2020-12-07,0.18627971431876233,0.25591076481926095,0.1690457990586908,0.1690778874601751
2020-12-08,0.1826796142787079,0.24989492847411365,0.16797130087968515,0.16493071940182397
2020-12-09,0.17990894689113912,0.2509064389847455,0.17110902300463154,0.16598464759405246
2020-12-10,0.17993774729698786,0.2503240577232241,0.17111503685536286,0.16587361147482427
2020-12-11,0.17847250874583134,0.24845139887944973,0.17028374691824083,0.16410577750442934
2020-12-14,0.17869329158208774,0.24741044753303934,0.17050421694109452,0.16382598064204545
2020-12-15,0.1800432585226871,0.2455124320576823,0.17296821507359478,0.16510372633605316
2020-12-16,0.17882171467635008,0.24300533496683685,0.17316413696380864,0.1637523493623259
2020-12-17,0.17695815474865612,0.2412216262769846,0.1745631733652094,0.1632768126379027
2020-12-18,0.17538386131949427,0.2414786210147372,0.16999516355913505,0.16199807189366383
2020-12-21,0.17495065112696662,0.23938478681790837,0.16984291920964176,0.16167047527862302
2020-12-22,0.16757683875307994,0.2299936559444507,0.1649611719577348,0.1527360112464297
2020-12-23,0.16759328430116618,0.230468662278024,0.16533126448096916,0.15268622214469837
2020-12-24,0.16520188356213297,0.22662592431053197,0.16540528774305382,0.15125146019984848
2020-12-28,0.16307599641534606,0.22406176196042946,0.1643445613940484,0.14860204639141175
2020-12-29,0.1625871858801617,0.2236800280052225,0.1636189663547366,0.1485602221682241
2020-12-30,0.16217625908744493,0.22351042939536783,0.16389996239286733,0.14857038868474232
2020-12-31,0.16204290104487262,0.22173395090010384,0.1630905161484288,0.1475060648567056
2021-01-04,0.16341029427272125,0.21573496720161586,0.16902723673991246,0.14486667703388603
2021-01-05,0.16049910810504503,0.21254137724242578,0.1688643323585517,0.14266705933508117
2021-01-06,0.157500638239858,0.21118477710960065,0.17040208921485758,0.14028674310320172
2021-01-07,0.15655690235201414,0.2136653700837198,0.17047692364205297,0.14053558341479747
2021-01-08,0.15610468301374586,0.2146718060088267,0.18372557232894945,0.14083060708378528
2021-01-11,0.1563249506356733,0.21549271783807236,0.1798559939063863,0.13943704291929251
2021-01-12,0.1535070915928837,0.20721681124152913,0.180359530607952,0.1365776643391894
2021-01-13,0.15271221669194862,0.2075069403478774,0.17787233057820415,0.13560708094489665
2021-01-14,0.15224361445670684,0.20702925302496128,0.17773623452427365,0.13551458337033134
2021-01-15,0.15315694427331947,0.2072331441811306,0.17914956474313629,0.13691537550266886
2021-01-19,0.15365071882333103,0.20846307349709606,0.17997438660237539,0.13803064738771711
2021-01-20,0.15179576428859642,0.20967421898947577,0.18305577471666937,0.14019417334857462
2021-01-21,0.15175140414655455,0.20999375604034892,0.18277209655385038,0.140144752040879
2021-01-22,0.15195423465116292,0.21016134407447362,0.18268950852270932,0.14066682133235642
2021-01-25,0.15183650898729345,0.2104472192758176,0.1817334197149037,0.14070129658308056
2021-01-26,0.15195481706569833,0.210453867720677,0.18177720454743773,0.14076659218094653
2021-01-27,0.15560704901320055,0.21627548277337066,0.18216618300732387,0.14466218756743732
2021-01-28,0.1558604484847707,0.21610868401446584,0.182079687392176,0.14486703186224523
2021-01-29,0.14472566687206437,0.20491137598427805,0.1792855025348656,0.13413575195660812
2021-02-01,0.14676149234670574,0.2076802644232528,0.1801331420371666,0.13713747496845738
2021-02-02,0.14639949328096616,0.20154069780320794,0.18149754872117396,0.13523685176092556
2021-02-03,0.1453842827932309,0.20204516819685506,0.1803652833050705,0.13486950183690577
2021-02-04,0.14323313456482156,0.20077757257751133,0.18474192455287933,0.13271238248069372
2021-02-05,0.13738154709516842,0.18212071780785963,0.18599793939214557,0.12622694649741953
2021-02-08,0.13316250990006845,0.17589419770679787,0.18102641368994443,0.1191784660272934
2021-02-09,0.13319287082165696,0.17593397406444825,0.18116236365387925,0.11917712412216942
2021-02-10,0.1314582764860442,0.17015151210217888,0.15849754493761994,0.11319861741148958
2021-02-11,0.1313087895465985,0.16518993958989053,0.15924156163958952,0.11245969862071552
2021-02-12,0.1309588283355249,0.1604168992652022,0.15913178024043034,0.11154655815635091
2021-02-16,0.12903035329392237,0.16010577985926683,0.1610223392018003,0.11219685442770172
2021-02-17,0.12670316798303927,0.1602400715873339,0.1616912553148224,0.11155121671196933
2021-02-18,0.12524790773802358,0.16038132472965286,0.1616911749493051,0.1111843924813378
2021-02-19,0.12467377435324818,0.1605570342044692,0.1619125416969602,0.11078465293045209
2021-02-22,0.12307180721235005,0.1690414818526879,0.1646346346490991,0.11013242969502923
2021-02-23,0.12294077181449375,0.16884752714256976,0.16465113409654392,0.11010445191192632
2021-02-24,0.1232825256629866,0.16848028341313098,0.16449508936575635,0.11025540460169733
2021-02-25,0.13325584350628727,0.18375666394373782,0.1640892468473149,0.12224202428294345
2021-02-26,0.13031840031128253,0.18202096424092407,0.16823403919669908,0.12323330564505547
2021-03-01,0.13836189877103267,0.19079085866119191,0.16824624694888105,0.12788935699984452
2021-03-02,0.1394978963193436,0.193309374662821,0.16758049044769144,0.12861251864852516
2021-03-03,0.14200383835991015,0.20246001646703587,0.16845864149954876,0.13356954291057188
2021-03-04,0.14298001752788767,0.20371599340531066,0.16362767549011462,0.1327864622357135
2021-03-05,0.14733987406429186,0.20588126572408177,0.16274329391333597,0.13455822167671067
2021-03-08,0.1477820850178494,0.21370052176636284,0.1627303899532262,0.1375237910760642
2021-03-09,0.14943135720311568,0.22775871023279776,0.16890352290026794,0.14636983378886023
2021-03-10,0.14969710858292376,0.22760361224348508,0.16625568866340562,0.14595598995443376
2021-03-11,0.15077156600050964,0.23202871798143165,0.16598520086944754,0.14739594403539588
2021-03-12,0.1493810751244624,0.22788902207028694,0.16284552965032245,0.14368945147363188
2021-03-15,0.14964114368345494,0.22865324876787158,0.16318941952716806,0.14430244709854384
2021-03-16,0.14964729417855044,0.22873691734749224,0.163136070699978,0.1443095723391472
2021-03-17,0.1492306793900194,0.22847895887027486,0.16364824079133414,0.14454405104466236
2021-03-18,0.15057281021701138,0.23619897029100315,0.1611925860774499,0.1466157480540454
2021-03-19,0.15067793372920607,0.23605805967212842,0.1609942438142655,0.14643129596649304
2021-03-22,0.15105182826738459,0.23860992358224886,0.15927044656598968,0.14662222286067653
2021-03-23,0.15177120854144013,0.23870635592030126,0.15973029490996887,0.14709996546140494
2021-03-24,0.15198372337451388,0.2411882530655763,0.1599687991618132,0.1475121044189379
2021-03-25,0.15217682148473544,0.24116991924378212,0.15947068556166777,0.1474389227809054
2021-03-26,0.15513359684722203,0.24272135880806006,0.15889505220333286,0.14915140095788887
2021-03-29,0.15508221004695155,0.24259789935249393,0.1599554919997106,0.14919706118916828
2021-03-30,0.15453716321110925,0.24204393494353504,0.16293516358880208,0.14976961363198463
2021-03-31,0.15453595634758024,0.2439158746828886,0.16606474979868735,0.15156204526408906
2021-04-01,0.1557417697464263,0.24616173819558648,0.16747011115154764,0.1538310321243089
2021-04-05,0.15775338617289814,0.24913721738793895,0.16716068778142262,0.15527931436931325
2021-04-06,0.15483067430222738,0.24726674813163918,0.16126639042123675,0.15526502417775503
2021-04-07,0.154463638323736,0.24686708057284223,0.16100069549325172,0.15483938612418555
2021-04-08,0.1543393386022754,0.24565773115267572,0.16020678980510708,0.15478882036658081
2021-04-09,0.15240832879794008,0.24149134014547485,0.16067162578325764,0.15298777055096446
2021-04-12,0.15217005226589614,0.24037401749720802,0.14659074053209517,0.15266674753545925
2021-04-13,0.1513173446626157,0.23923016266896624,0.14746484378203803,0.15235192054753102
2021-04-14,0.1516134023760597,0.24066291147545762,0.14686397667029455,0.15302479769802457
2021-04-15,0.15274057982639577,0.24202844434512819,0.15066556180410215,0.15537033458216123
2021-04-16,0.15243553041189892,0.24164387101051835,0.15127010351367445,0.1552681045882567
2021-04-19,0.1519417427537266,0.2418508144518065,0.14942976112567233,0.15448678347589037
2021-04-20,0.1524684900733264,0.24097791628443596,0.14855747811047115,0.15355481456233014
2021-04-21,0.15126911580795369,0.23724957489146956,0.1461542741816715,0.1506201719452078
2021-04-22,0.1527213379120833,0.2381897267445946,0.14662248945253123,0.15180438536659085
2021-04-23,0.15360736026869995,0.23928964272701256,0.14604294532885626,0.1519389865908079
2021-04-26,0.1535294179639422,0.23909277423471625,0.14616175552825628,0.15188140707085843
2021-04-27,0.1534469666609426,0.2393056433815438,0.14616417999192305,0.15196613967517503
2021-04-28,0.1442181167894651,0.232337532257501,0.14586995573250855,0.14641886289141776
2021-04-29,0.14386077374747677,0.23218718949678926,0.14602221252082054,0.14617238931548657
2021-04-30,0.1379697760727847,0.22836673270749064,0.14612944402121314,0.14372723220202954
2021-05-03,0.1347223417851127,0.22356397990042798,0.1473004018476378,0.14004270331473603
2021-05-04,0.1332566678041108,0.2244046426553746,0.14606248707137787,0.14135375798350172
2021-05-05,0.1332695404325461,0.22436181733121247,0.14633710154009547,0.14129735856780198
2021-05-06,0.13241463426423353,0.22362474117788664,0.1438301914132192,0.14279190453608134
2021-05-07,0.13284442641817326,0.22409959377681676,0.14360189799945192,0.14322231531483126
2021-05-10,0.13422119977063696,0.22941335409254462,0.14232091612637848,0.14419549860575837
2021-05-11,0.1356875225869647,0.22942441756228907,0.14217520132185835,0.14438274573845922
2021-05-12,0.14279994883673405,0.23505149023590197,0.1433647423318816,0.14944763266956504
2021-05-13,0.1445726541010728,0.23533085455627653,0.14255746043218134,0.15029424136876282
2021-05-14,0.14724085289962927,0.23937212639883873,0.1435624374529323,0.1533635247768303
2021-05-17,0.14736711074979397,0.23960086235899808,0.14224013083761855,0.15283668511037443
2021-05-18,0.1486134875293145,0.23977811515458336,0.140155005354501,0.1527188514904488
2021-05-19,0.14842029374953075,0.23966374501901538,0.14014328316546237,0.1525766776966307
2021-05-20,0.14961714635816223,0.24271941824083904,0.14018570604449798,0.15415729197805242
2021-05-21,0.14860521310987668,0.2372229376160712,0.1372255789047744,0.15362022371280598
2021-05-24,0.14968978784443313,0.23938734065316547,0.13711255708923392,0.15457329236675374
2021-05-25,0.14854890829292408,0.23889766611254357,0.13809572253341915,0.154248533490522
2021-05-26,0.13942298029149713,0.22784282283357463,0.13231006766563927,0.1443324843745436
2021-05-27,0.13877490841267437,0.22796740930680384,0.12192344270213873,0.14306918781732697
2021-05-28,0.13095630127100963,0.22025599671400073,0.1218240835208114,0.13930719673723369
2021-06-01,0.129730673416603,0.21780293177929524,0.12186808560721436,0.13870064469642113
2021-06-02,0.12627461479637198,0.20919667754650978,0.11936521243196714,0.13324763741843101
2021-06-03,0.12352920398065541,0.20748231231489106,0.12467344516820364,0.132570002083324
2021-06-04,0.11979551440408243,0.20802743520809125,0.12600758599602388,0.13286410349135033
2021-06-07,0.11916505636958435,0.19906139480525947,0.12365338384845315,0.1287475662637472
2021-06-08,0.11641019557681886,0.183893326627301,0.11764573254911698,0.11993984567742476
2021-06-09,0.11614847142841879,0.18371256054921348,0.11762888642518995,0.12001013050735383
2021-06-10,0.11496991822499367,0.17934565652674253,0.11766596712484359,0.11894492066225174
2021-06-11,0.11497261294268765,0.17837215358180747,0.12037879080183064,0.11894633980495029
2021-06-14,0.11459298771946892,0.17815109538439255,0.1210771468621663,0.11839143470915
2021-06-15,0.11464858148461905,0.17862716068278303,0.12148654418126702,0.11885711487294601
2021-06-16,0.11534773629861136,0.1787733719596236,0.12607741561793898,0.12022025355930513
2021-06-17,0.11095824043713254,0.16831210024755833,0.14039789615561735,0.11550455674908927
2021-06-18,0.1146677075785812,0.16934071423549876,0.14066851006206946,0.11722815566247623
2021-06-21,0.11689402789923589,0.16597342936347767,0.14266688988588153,0.11798297348104925
2021-06-22,0.11571610740977625,0.16632968231822662,0.14211764758349382,0.11709776114928386
2021-06-23,0.11509215596591967,0.1620989191100932,0.14200407007700158,0.11620652152192829
2021-06-24,0.11513637815025304,0.1621709980037218,0.14178298613653484,0.11629957586766808
2021-06-25,0.1113147397511603,0.16008735561232407,0.1418182413123501,0.11450553010527728
2021-06-28,0.11126649170573404,0.16140051938538527,0.13958506131316556,0.11420032861151701
2021-06-29,0.11098845521407552,0.16082415539343134,0.13677624123077442,0.11276866124841482
2021-06-30,0.11085630984432475,0.15867912699153838,0.13388266915416874,0.11087035642974587
2021-07-01,0.10951481134397263,0.15561332095143265,0.13176882624616823,0.1081060650129562
2021-07-02,0.10703744943597063,0.15240651618393627,0.13232261530657782,0.10717823075284627
2021-07-06,0.10714510870128263,0.15246515899381186,0.1317592308254154,0.10719064702718935
